ID,time,DRUG_A_CENTRAL,DRUG_A_CARTRIDGE,DRUG_B_EXTRA,DRUG_B_CENTRAL,DRUG_B_CARTRIDGE,Vadd_A_Central,Vadd_B_Central,Vadd_B_Extra,C_DRUG_A_CENTRAL,C_DRUG_A_CARTRIDGE,C_DRUG_B_EXTRA,C_DRUG_B_CENTRAL,C_DRUG_B_CARTRIDGE,Ve,Vc,V3
1,385,215.99509283780162,54.03479301204304,0,86.39803713512089,21.613917204817128,0,-6.15916935569364e-28,0,1.079975464189008,1.0806958602408607,0,0.43199018567560443,0.4322783440963425,1,200,50
1,386,215.64980955521597,53.948414611219626,0,86.25992382208663,21.57936584448776,0,-6.463128211739603e-28,0,1.0782490477760798,1.0789682922243926,0,0.4312996191104332,0.4315873168897552,1,200,50
1,387,215.30507823026707,53.86217429185103,0,86.12203129210707,21.544869716740326,0,-6.7775248599095755e-28,0,1.0765253911513353,1.0772434858370206,0,0.43061015646053535,0.4308973943348065,1,200,50
1,388,214.96089798036752,53.77607183314322,0,85.98435919214725,21.510428733257204,0,-7.1026129373482575e-28,0,1.0748044899018376,1.0755214366628645,0,0.42992179596073626,0.43020857466514406,1,200,50
1,389,214.61726792432935,53.690107014652256,0,85.84690716973198,21.47604280586082,0,-7.438649930479013e-28,0,1.0730863396216468,1.073802140293045,0,0.4292345358486599,0.4295208561172164,1,200,50
1,390,214.27418718236137,53.60427961628362,0,85.70967487294479,21.44171184651337,0,-7.785897202397625e-28,0,1.0713709359118069,1.0720855923256725,0,0.4285483743647239,0.4288342369302674,1,200,50
1,391,213.93165487606666,53.51858941829161,0,85.5726619504269,21.40743576731657,0,-8.144620020266033e-28,0,1.0696582743803333,1.0703717883658321,0,0.42786330975213455,0.4281487153463314,1,200,50
1,392,213.58967012844005,53.433036201278675,0,85.43586805137625,21.3732144805114,0,-8.515087582706083e-28,0,1.0679483506422003,1.0686607240255734,0,0.42717934025688126,0.42746428961022803,1,200,50
1,393,213.24823206386554,53.347619746194795,0,85.29929282554644,21.339047898477855,0,-8.897573047193268e-28,0,1.0662411603193278,1.066952394923896,0,0.42649646412773223,0.4267809579695571,1,200,50
1,394,212.90733980811376,53.26233983433684,0,85.16293592324574,21.30493593373468,0,-9.29235355745048e-28,0,1.064536699040569,1.065246796686737,0,0.4258146796162287,0.42609871867469357,1,200,50
1,395,212.56699248833945,53.177196247347936,0,85.02679699533601,21.270878498939126,0,-9.699710270841753e-28,0,1.0628349624416973,1.0635439249469587,0,0.4251339849766801,0.42541756997878255,1,200,50
1,396,212.22718923307892,53.09218876721683,0,84.89087569323178,21.23687550688669,0,-1.0119928385765998e-27,0,1.0611359461653946,1.0618437753443366,0,0.4244543784661589,0.4247375101377338,1,200,50
1,397,211.88792917224737,53.00731717627723,0,84.75517166889915,21.20292687051086,0,-1.0553297169050767e-27,0,1.0594396458612367,1.0601463435255447,0,0.42377585834449577,0.4240585374102172,1,200,50
1,398,211.54921145122674,52.92258126073211,0,84.6196845804909,21.16903250429282,0,-1.1000109983345978e-27,0,1.0577460572561337,1.058451625214642,0,0.4230984229024545,0.42338065008585635,1,200,50
1,399,211.21103522034244,52.837980808021136,0,84.48441408813717,21.135192323208432,0,-1.1460664314517674e-27,0,1.0560551761017123,1.0567596161604227,0,0.42242207044068586,0.42270384646416864,1,200,50
1,400,210.87339958772085,52.75351559502717,0,84.34935983508855,21.101406238010846,0,-1.193526179904177e-27,0,1.0543669979386043,1.0550703119005433,0,0.4217467991754427,0.4220281247602169,1,200,50
1,401,210.53630368914213,52.66918540555111,0,84.21452147565705,21.06767416222042,0,-1.2424208251397784e-27,0,1.0526815184457106,1.0533837081110222,0,0.4210726073782853,0.4213534832444084,1,200,50
1,402,210.1997466617656,52.58499002373892,0,84.07989866470645,21.033996009495546,0,-1.2927813691462593e-27,0,1.050998733308828,1.0516998004747784,0,0.4203994933235322,0.4206799201899109,1,200,50
1,403,209.86372764412752,52.500929234080985,0,83.94549105765121,21.00037169363237,0,-1.3446392371904177e-27,0,1.0493186382206376,1.0500185846816197,0,0.41972745528825606,0.4200074338726474,1,200,50
1,404,209.52824577613865,52.41700282141158,0,83.81129831045565,20.966801128564608,0,-1.3980262805575349e-27,0,1.0476412288806933,1.0483400564282315,0,0.41905649155227825,0.41933602257129216,1,200,50
1,405,209.1933001990819,52.33321057090823,0,83.67732007963296,20.933284228363267,0,-1.452974779290754e-27,0,1.0459665009954096,1.0466642114181646,0,0.41838660039816483,0.41866568456726533,1,200,50
1,406,208.8588900556101,52.24955226809116,0,83.54355602224423,20.899820907236435,0,-1.5095174449304499e-27,0,1.0442944502780505,1.0449910453618232,0,0.4177177801112212,0.4179964181447287,1,200,50
1,407,208.52501448974348,52.16602769882269,0,83.41000579589759,20.866411079529044,0,-1.5676874232536059e-27,0,1.0426250724487174,1.0433205539764538,0,0.41705002897948795,0.41732822159058086,1,200,50
1,408,208.1916726468674,52.08263664930664,0,83.27666905874716,20.833054659722624,0,-1.6275182970131885e-27,0,1.040958363234337,1.041652732986133,0,0.4163833452937358,0.4166610931944525,1,200,50
1,409,207.85886367373007,51.99937890608777,0,83.14354546949222,20.799751562435073,0,-1.689044088677521e-27,0,1.0392943183686503,1.0399875781217554,0,0.4157177273474611,0.41599503124870146,1,200,50
1,410,207.52658671844003,51.91625425605116,0,83.01063468737621,20.766501702420424,0,-1.7522992631696586e-27,0,1.0376329335922,1.0383250851210233,0,0.41505317343688103,0.41533003404840846,1,200,50
1,411,207.19484093046395,51.83326248642163,0,82.87793637218577,20.73330499456861,0,-1.8173187306067626e-27,0,1.0359742046523197,1.0366652497284325,0,0.41438968186092884,0.4146660998913722,1,200,50
1,412,206.8636254606242,51.750403384763175,0,82.74545018424988,20.700161353905223,0,-1.8841378490394757e-27,0,1.034318127303121,1.0350080676952635,0,0.4137272509212494,0.41400322707810444,1,200,50
1,413,206.53293946109653,51.66767673897834,0,82.61317578443881,20.66707069559128,0,-1.9527924271912953e-27,0,1.0326646973054827,1.0333535347795668,0,0.41306587892219404,0.4133414139118256,1,200,50
1,414,206.2027820854077,51.58508233730765,0,82.48111283416327,20.634032934923,0,-2.0233187271979482e-27,0,1.0310139104270386,1.0317016467461528,0,0.41240556417081636,0.41268065869846,1,200,50
1,415,205.87315248843313,51.50261996832904,0,82.34926099537346,20.60104798733155,0,-2.0957534673467667e-27,0,1.0293657624421657,1.0300523993665809,0,0.41174630497686726,0.412020959746631,1,200,50
